"cod_municipio","municipio","estado","valor"
2408508,Ouro Branco,RN,20
2516409,Tacima,PB,1200
3154705,Ribeirão Vermelho,MG,400
3165008,São Tiago,MG,1600
3523909,Itu,SP,450
4107256,Douradina,PR,950
5213103,Mineiros,GO,95000
5213509,Monte Alegre de Goiás,GO,60
5213707,Montes Claros de Goiás,GO,4000
5213756,Montividiu,GO,116400
5213772,Montividiu do Norte,GO,294
5213806,Morrinhos,GO,7000
5213855,Morro Agudo de Goiás,GO,160
5213905,Mossâmedes,GO,400
5214002,Mozarlândia,GO,250
5214051,Mundo Novo,GO,300
5214101,Mutunópolis,GO,467
5214408,Nazário,GO,90
5214606,Niquelândia,GO,8200
5214705,Nova América,GO,65
5214804,Nova Aurora,GO,420
5214838,Nova Crixás,GO,1500
5214861,Nova Glória,GO,1250
5214879,Nova Iguaçu de Goiás,GO,100
5215009,Nova Veneza,GO,30
5215207,Novo Brasil,GO,125
5215231,Novo Gama,GO,335
5215256,Novo Planalto,GO,363
5215306,Orizona,GO,17800
5215405,Ouro Verde de Goiás,GO,980
5215504,Ouvidor,GO,1668
5215603,Padre Bernardo,GO,10500
5215652,Palestina de Goiás,GO,5000
5215702,Palmeiras de Goiás,GO,9800
5215801,Palmelo,GO,290
5215900,Palminópolis,GO,1500
5216007,Panamá,GO,1870
5216304,Paranaiguara,GO,480
5216403,Paraúna,GO,59000
5216452,Perolândia,GO,35000
5216809,Petrolina de Goiás,GO,1050
5216908,Pilar de Goiás,GO,60
5217104,Piracanjuba,GO,10500
5217302,Pirenópolis,GO,840
5217401,Pires do Rio,GO,5950
5217609,Planaltina,GO,7100
5217708,Pontalina,GO,4100
1100015,Alta Floresta D'Oeste,RO,10562
1100023,Ariquemes,RO,1900
1100031,Cabixi,RO,22620
1100049,Cacoal,RO,2859
1100056,Cerejeiras,RO,28050
1100064,Colorado do Oeste,RO,2280
1100072,Corumbiara,RO,34520
1100080,Costa Marques,RO,120
1100098,Espigão D'Oeste,RO,3484
1100106,Guajará-Mirim,RO,50
1100114,Jaru,RO,200
1100122,Ji-Paraná,RO,40
1100130,Machadinho D'Oeste,RO,350
1100148,Nova Brasilândia D'Oeste,RO,990
1100155,Ouro Preto do Oeste,RO,30
1100189,Pimenta Bueno,RO,2019
1100205,Porto Velho,RO,21885
1100254,Presidente Médici,RO,200
1100262,Rio Crespo,RO,8150
1100288,Rolim de Moura,RO,4800
1100296,Santa Luzia D'Oeste,RO,2539
1100304,Vilhena,RO,33015
1100320,São Miguel do Guaporé,RO,6884
1100338,Nova Mamoré,RO,1200
1100346,Alvorada D'Oeste,RO,170
1100379,Alto Alegre dos Parecis,RO,37500
1100403,Alto Paraíso,RO,10728
1100452,Buritis,RO,900
1100502,Novo Horizonte do Oeste,RO,1885
1100700,Campo Novo de Rondônia,RO,420
1100809,Candeias do Jamari,RO,2400
1100908,Castanheiras,RO,3176
1100924,Chupinguaia,RO,20060
1100940,Cujubim,RO,2350
1101005,Governador Jorge Teixeira,RO,300
1101104,Itapuã do Oeste,RO,367
1101203,Ministro Andreazza,RO,300
1101302,Mirante da Serra,RO,1800
1101401,Monte Negro,RO,110
1101435,Nova União,RO,316
1101450,Parecis,RO,847
1101468,Pimenteiras do Oeste,RO,35505
1101476,Primavera de Rondônia,RO,70
1101484,São Felipe D'Oeste,RO,3775
1101492,São Francisco do Guaporé,RO,1490
1101500,Seringueiras,RO,1150
1101559,Teixeirópolis,RO,40
1101609,Theobroma,RO,1357
1101708,Urupá,RO,247
1101757,Vale do Anari,RO,2400
1101807,Vale do Paraíso,RO,50
1200013,Acrelândia,AC,900
1200054,Assis Brasil,AC,550
1200104,Brasiléia,AC,1545
1200138,Bujari,AC,1430
1200179,Capixaba,AC,3300
1200203,Cruzeiro do Sul,AC,730
1200252,Epitaciolândia,AC,1580
1200302,Feijó,AC,2900
1200328,Jordão,AC,430
1200336,Mâncio Lima,AC,480
1200344,Manoel Urbano,AC,590
1200351,Marechal Thaumaturgo,AC,640
1200385,Plácido de Castro,AC,3200
1200393,Porto Walter,AC,220
1200401,Rio Branco,AC,3750
1200427,Rodrigues Alves,AC,450
1200435,Santa Rosa do Purus,AC,260
1200450,Senador Guiomard,AC,3120
1200500,Sena Madureira,AC,1750
1200609,Tarauacá,AC,2600
1200708,Xapuri,AC,1580
1200807,Porto Acre,AC,2100
1300029,Alvarães,AM,2
1300086,Anamã,AM,48
1300102,Anori,AM,30
1300144,Apuí,AM,650
1300201,Atalaia do Norte,AM,20
1300300,Autazes,AM,80
1300508,Barreirinha,AM,3
1300607,Benjamin Constant,AM,7
1300680,Boa Vista do Ramos,AM,3
1300706,Boca do Acre,AM,570
1300805,Borba,AM,20
1300904,Canutama,AM,35
1301001,Carauari,AM,10
1301100,Careiro,AM,20
1301209,Coari,AM,50
1301407,Eirunepé,AM,11
1301506,Envira,AM,400
1301654,Guajará,AM,22
1301704,Humaitá,AM,240
1301803,Ipixuna,AM,64
1301902,Itacoatiara,AM,69
1301951,Itamarati,AM,15
1302207,Juruá,AM,6
1302405,Lábrea,AM,125
1302553,Manaquiri,AM,40
1302900,Maués,AM,3
1303007,Nhamundá,AM,12
1303304,Novo Aripuanã,AM,33
1303403,Parintins,AM,10
1303502,Pauini,AM,119
1303536,Presidente Figueiredo,AM,30
1303809,São Gabriel da Cachoeira,AM,3
1303957,São Sebastião do Uatumã,AM,43
1304062,Tabatinga,AM,11
1304104,Tapauá,AM,27
1304260,Uarini,AM,6
1304302,Urucará,AM,18
1304401,Urucurituba,AM,27
1400027,Amajari,RR,400
1400050,Alto Alegre,RR,3000
1400100,Boa Vista,RR,2200
1400159,Bonfim,RR,13000
1400175,Cantá,RR,800
1400209,Caracaraí,RR,800
1400282,Iracema,RR,609
1400308,Mucajaí,RR,300
1400407,Normandia,RR,120
1400472,Rorainópolis,RR,84
1400506,São João da Baliza,RR,60
1500107,Abaetetuba,PA,90
1500131,Abel Figueiredo,PA,210
1500206,Acará,PA,50
1500347,Água Azul do Norte,PA,4500
1500404,Alenquer,PA,3000
1500503,Almeirim,PA,95
1500602,Altamira,PA,10500
1500859,Anapu,PA,800
1500909,Augusto Corrêa,PA,170
1500958,Aurora do Pará,PA,850
1501006,Aveiro,PA,400
1501204,Baião,PA,200
1501303,Barcarena,PA,300
1501451,Belterra,PA,19500
1501576,Bom Jesus do Tocantins,PA,195
1501600,Bonito,PA,70
1501709,Bragança,PA,600
1501725,Brasil Novo,PA,300
1501758,Brejo Grande do Araguaia,PA,700
1501907,Bujaru,PA,120
1501956,Cachoeira do Piriá,PA,650
1502103,Cametá,PA,264
1502152,Canaã dos Carajás,PA,6180
1502202,Capanema,PA,400
1502301,Capitão Poço,PA,1500
1502400,Castanhal,PA,400
1502608,Colares,PA,10
1502707,Conceição do Araguaia,PA,800
1502756,Concórdia do Pará,PA,60
1502764,Cumaru do Norte,PA,10964
1502772,Curionópolis,PA,2678
1502855,Curuá,PA,56
1502905,Curuçá,PA,20
1502939,Dom Eliseu,PA,5200
1502954,Eldorado do Carajás,PA,1648
1503002,Faro,PA,6
1503044,Floresta do Araguaia,PA,700
1503077,Garrafão do Norte,PA,1250
1503101,Gurupá,PA,30
1503200,Igarapé-Açu,PA,130
1503309,Igarapé-Miri,PA,40
1503408,Inhangapi,PA,10
1503457,Ipixuna do Pará,PA,2905
1503507,Irituia,PA,500
1503606,Itaituba,PA,450
1503705,Itupiranga,PA,3620
1503754,Jacareacanga,PA,85
1503903,Juruti,PA,20
1504000,Limoeiro do Ajuru,PA,18
1504059,Mãe do Rio,PA,600
1504109,Magalhães Barata,PA,30
1504208,Marabá,PA,7455
1504307,Maracanã,PA,250
1504406,Marapanim,PA,40
1504455,Medicilândia,PA,1700
1504604,Mocajuba,PA,4000
1504703,Moju,PA,800
1504752,Mojuí dos Campos,PA,39000
1504802,Monte Alegre,PA,9000
1504950,Nova Esperança do Piriá,PA,5000
1504976,Nova Ipixuna,PA,600
1505007,Nova Timboteua,PA,160
1505031,Novo Progresso,PA,4000
1505106,Óbidos,PA,100
1505205,Oeiras do Pará,PA,84
1505304,Oriximiná,PA,147
1505403,Ourém,PA,200
1505437,Ourilândia do Norte,PA,305
1505486,Pacajá,PA,1610
1505494,Palestina do Pará,PA,510
1505502,Paragominas,PA,12625
1505536,Parauapebas,PA,2800
1505601,Peixe-Boi,PA,350
1505635,Piçarra,PA,3500
1505650,Placas,PA,1230
1505908,Porto de Moz,PA,140
1506005,Prainha,PA,1900
1506104,Primavera,PA,230
1506112,Quatipuru,PA,40
1506138,Redenção,PA,2750
1506161,Rio Maria,PA,390
1506187,Rondon do Pará,PA,2754
1506195,Rurópolis,PA,2220
1506203,Salinópolis,PA,120
1506351,Santa Bárbara do Pará,PA,30
1506559,Santa Luzia do Pará,PA,400
1506583,Santa Maria das Barreiras,PA,34000
1506609,Santa Maria do Pará,PA,700
1506708,Santana do Araguaia,PA,55500
1506807,Santarém,PA,27000
1506906,Santarém Novo,PA,400
